,EVENT,BOUT,FIGHTER_RED,FIGHTER_BLUE,KD_RED,KD_BLUE,SIG_STR_LAND_RED,SIG_STR_ATT_RED,SIG_STR_LAND_BLUE,SIG_STR_ATT_BLUE,TOTAL_STR_LAND_RED,TOTAL_STR_ATT_RED,TOTAL_STR_LAND_BLUE,TOTAL_STR_ATT_BLUE,TD_RED,TD_ATT_RED,TD_BLUE,TD_ATT_BLUE,SUB_ATT_RED,SUB_ATT_BLUE,REV_RED,REV_BLUE,CTRL_TIME_RED(sec),CTRL_TIME-BLUE(sec),HEAD_LAND_RED,HEAD_ATT_RED,HEAD_LAND_BLUE,HEAD_ATT_BLUE,BODY_LAND_RED,BODY_ATT_RED,BODY_LAND_BLUE,BODY_ATT_BLUE,LEG_LAND_RED,LEG_ATT_RED,LEG_LAND_BLUE,LEG_ATT_BLUE,STD_STR_LAND_RED,STD_STR_ATT_RED,STD_STR_LAND_BLUE,STD_STR_ATT_BLUE,CLINCH_STR_LAND_RED,CLINCH_STR_ATT_RED,CLINCH_STR_LAND_BLUE,CLINCH_STR_ATT_BLUE,GRD_STR_LAND_RED,GRD_STR_ATT_RED,GRD_STR_LAND_BLUE,GRD_STR_ATT_BLUE,WIN_BY,Fight_Time_(sec),LAST_ROUND,FORMAT,WINNER,WeightClass
0,UFC Fight Night 5,Jorge Santiago vs Justin Levens,Jorge Santiago,Justin Levens,1,0,9,15,0,6,14,20,1,7,1,1,0,1,0,0,0,0,70,10,8,14,0,5,1,1,0,1,0,0,0,0,1,2,0,4,3,3,0,2,5,10,0,0,KO/TKO ,133,1,3,Jorge Santiago,Middleweight Bout
1,UFC Fight Night 5,Rob MacDonald vs Kristian Rothaermel,Rob MacDonald,Kristian Rothaermel,0,0,10,17,3,6,14,23,16,19,4,4,0,3,3,0,0,0,168,0,9,16,1,3,0,0,0,1,1,1,2,2,1,4,2,4,0,0,1,2,9,13,0,0,Submission ,241,1,3,Rob MacDonald,Light Heavyweight Bout
2,UFC Fight Night 5,Jon Fitch vs Thiago Alves,Jon Fitch,Thiago Alves,1,0,51,72,1,1,104,129,2,2,3,4,1,1,2,3,0,0,526,27,43,63,0,0,6,6,0,0,2,3,1,1,1,3,1,1,7,7,0,0,43,62,0,0,KO/TKO ,577,2,3,Jon Fitch,Welterweight Bout
3,UFC Fight Night 5,Jason Lambert vs Branden Lee Hinkle,Jason Lambert,Branden Lee Hinkle,0,0,44,59,4,6,80,99,5,7,0,0,3,5,1,0,0,0,189,99,31,45,0,1,9,10,3,4,4,4,1,1,0,0,0,0,8,9,4,6,36,50,0,0,KO/TKO ,300,1,3,Jason Lambert,Light Heavyweight Bout
4,UFC Fight Night 5,Josh Koscheck vs Dave Menne,Josh Koscheck,Dave Menne,0,0,45,68,13,34,95,127,21,42,4,7,1,1,1,5,1,1,678,30,29,50,4,20,16,18,1,2,0,0,8,12,6,18,10,29,0,1,2,3,39,49,1,2,Decision - Unanimous ,900,3,3,Josh Koscheck,Welterweight Bout
5,UFC Fight Night 5,Mark Hominick vs Jorge Gurgel,Mark Hominick,Jorge Gurgel,0,0,43,158,36,211,43,158,36,211,0,0,0,5,0,0,0,0,12,0,26,135,14,178,14,19,1,5,3,4,21,28,43,158,36,211,0,0,0,0,0,0,0,0,Decision - Unanimous ,900,3,3,Mark Hominick,Lightweight Bout
6,UFC Fight Night 5,Rashad Evans vs Stephan Bonnar,Rashad Evans,Stephan Bonnar,0,0,17,37,12,36,48,68,52,78,7,12,0,0,0,2,0,0,655,4,12,32,7,28,5,5,4,6,0,0,1,2,3,12,7,30,1,1,3,4,13,24,2,2,Decision - Majority ,900,3,3,Rashad Evans,Light Heavyweight Bout
7,UFC Fight Night 5,Anderson Silva vs Chris Leben,Anderson Silva,Chris Leben,2,0,17,20,1,8,17,20,1,8,0,0,0,0,0,0,0,0,9,0,17,20,1,8,0,0,0,0,0,0,0,0,13,14,1,8,1,1,0,0,3,5,0,0,KO/TKO ,49,1,3,Anderson Silva,Middleweight Bout
8,UFC Fight Night 5,Jonathan Goulet vs Luke Cummo,Jonathan Goulet,Luke Cummo,0,2,18,34,13,21,65,87,30,40,6,9,0,0,0,3,1,0,693,115,14,28,9,17,3,4,3,3,1,2,1,1,2,5,6,9,0,0,4,6,16,29,3,6,Decision - Majority ,900,3,3,Jonathan Goulet,Welterweight Bout
9,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Mike Nickels vs Wes Combs,Mike Nickels,Wes Combs,0,0,22,37,4,12,41,56,17,32,3,3,0,0,1,0,0,0,156,1,12,23,3,9,10,14,0,2,0,0,1,1,1,4,2,7,8,14,2,5,13,19,0,0,Submission ,190,1,3,Mike Nickels,Light Heavyweight Bout
10,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Matt Hamill vs Jesse Forbes,Matt Hamill,Jesse Forbes,0,0,33,48,9,21,93,117,16,28,1,1,0,0,0,0,0,0,175,0,30,45,4,15,1,1,3,4,2,2,2,2,9,18,8,19,16,19,1,2,8,11,0,0,KO/TKO ,287,1,3,Matt Hamill,Light Heavyweight Bout
11,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Luigi Fioravanti vs Solomon Hutcherson,Luigi Fioravanti,Solomon Hutcherson,1,0,11,31,11,28,19,41,25,44,1,1,1,1,0,0,1,1,47,99,7,22,5,18,3,7,5,9,1,2,1,1,4,12,5,17,5,17,6,11,2,2,0,0,KO/TKO ,255,1,3,Luigi Fioravanti,Middleweight Bout
12,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Kalib Starnes vs Danny Abbadi,Kalib Starnes,Danny Abbadi,0,0,21,29,3,9,25,33,6,12,1,2,0,0,1,0,0,0,101,0,10,17,2,8,11,12,1,1,0,0,0,0,2,5,1,5,5,5,2,4,14,19,0,0,Submission ,176,1,3,Kalib Starnes,Middleweight Bout
13,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Rory Singer vs Ross Pointon,Rory Singer,Ross Pointon,0,1,2,4,4,20,2,4,7,23,0,0,0,0,1,0,0,0,0,20,1,3,4,19,1,1,0,0,0,0,0,1,2,4,4,18,0,0,0,0,0,0,0,2,Submission ,44,1,3,Rory Singer,Middleweight Bout
14,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Keith Jardine vs Wilson Gouveia,Keith Jardine,Wilson Gouveia,0,0,67,205,48,115,71,210,51,118,1,1,1,2,0,0,0,0,33,29,41,175,21,85,4,5,1,1,22,25,26,29,61,186,46,110,1,6,0,3,5,13,2,2,Decision - Unanimous ,900,3,3,Keith Jardine,Light Heavyweight Bout
15,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Kendall Grove vs Ed Herman,Kendall Grove,Ed Herman,0,0,25,39,33,57,46,61,68,94,0,0,5,10,6,2,2,1,205,585,12,25,20,42,10,10,13,15,3,4,0,0,5,12,3,13,11,14,2,3,9,13,28,41,Decision - Unanimous ,900,3,3,Kendall Grove,Ultimate Fighter 3 Middleweight Tournament Title Bout
16,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Michael Bisping vs Josh Haynes,Michael Bisping,Josh Haynes,2,0,41,61,8,22,52,72,16,30,4,5,0,1,4,0,0,1,329,53,25,43,5,19,13,14,3,3,3,4,0,0,9,17,3,12,19,26,5,8,13,18,0,2,KO/TKO ,554,2,3,Michael Bisping,Ultimate Fighter 3 Light Heavyweight Tournament Title Bout
17,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Kenny Florian vs Sam Stout,Kenny Florian,Sam Stout,0,0,5,8,0,4,19,22,0,4,1,2,0,0,1,0,0,0,97,0,5,8,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,8,0,0,Submission ,106,1,3,Kenny Florian,Lightweight Bout
18,UFC 60: Hughes vs Gracie,Melvin Guillard vs Rick Davis,Melvin Guillard,Rick Davis,1,0,10,28,5,10,10,28,5,10,0,0,0,0,0,0,0,0,2,0,7,24,2,3,2,2,2,5,1,2,1,2,6,20,5,10,4,8,0,0,0,0,0,0,KO/TKO ,97,1,3,Melvin Guillard,Lightweight Bout
19,UFC 60: Hughes vs Gracie,Gabriel Gonzaga vs Fabiano Scherner,Gabriel Gonzaga,Fabiano Scherner,1,0,16,30,8,25,34,50,24,41,3,4,0,1,0,0,0,1,143,38,11,25,6,20,3,3,2,5,2,2,0,0,8,19,5,14,4,4,3,10,4,7,0,1,KO/TKO ,324,2,3,Gabriel Gonzaga,Heavyweight Bout
20,UFC 60: Hughes vs Gracie,Spencer Fisher vs Matt Wiman,Spencer Fisher,Matt Wiman,1,0,27,39,10,19,44,58,29,42,0,0,1,4,0,4,0,0,118,204,10,20,7,14,12,13,2,4,5,6,1,1,6,9,1,8,14,19,4,5,7,11,5,6,KO/TKO ,403,2,3,Spencer Fisher,Lightweight Bout
21,UFC 60: Hughes vs Gracie,Jeremy Horn vs Chael Sonnen,Jeremy Horn,Chael Sonnen,0,0,3,5,6,18,5,7,34,52,0,0,3,3,4,0,0,0,0,347,3,5,5,17,0,0,1,1,0,0,0,0,1,3,1,2,0,0,0,0,2,2,5,16,Submission ,377,2,3,Jeremy Horn,Middleweight Bout
22,UFC 60: Hughes vs Gracie,Mike Swick vs Joe Riggs,Mike Swick,Joe Riggs,0,0,5,12,1,4,6,13,2,5,0,0,0,2,1,0,0,0,10,27,1,7,0,3,2,2,0,0,2,3,1,1,2,9,0,3,3,3,1,1,0,0,0,0,Submission ,139,1,3,Mike Swick,Middleweight Bout
23,UFC 60: Hughes vs Gracie,Brandon Vera vs Assuerio Silva,Brandon Vera,Assuerio Silva,0,0,8,29,9,17,8,29,11,19,0,0,1,1,1,0,0,0,0,35,3,19,1,9,2,6,5,5,3,4,3,3,8,29,6,14,0,0,1,1,0,0,2,2,Submission ,159,1,3,Brandon Vera,Heavyweight Bout
24,UFC 60: Hughes vs Gracie,Diego Sanchez vs John Alessio,Diego Sanchez,John Alessio,0,0,9,67,17,57,25,87,23,63,1,16,0,0,0,1,0,0,262,0,8,62,15,54,1,5,0,1,0,0,2,2,7,64,16,55,2,3,1,2,0,0,0,0,Decision - Unanimous ,900,3,3,Diego Sanchez,Welterweight Bout
25,UFC 60: Hughes vs Gracie,Dean Lister vs Alessio Sakara,Dean Lister,Alessio Sakara,0,0,1,2,1,3,6,8,4,6,0,1,0,0,2,0,0,0,0,110,1,2,1,3,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,Submission ,140,1,3,Dean Lister,Light Heavyweight Bout
26,UFC 60: Hughes vs Gracie,Matt Hughes vs Royce Gracie,Matt Hughes,Royce Gracie,0,0,32,40,7,11,33,41,14,18,1,1,0,0,1,0,0,0,206,0,22,29,0,3,8,9,2,2,2,2,5,6,3,4,5,8,1,1,2,3,28,35,0,0,KO/TKO ,279,1,3,Matt Hughes,Catch Weight Bout
27,UFC 59: Reality Check,Thiago Alves vs Derrick Noble,Thiago Alves,Derrick Noble,1,0,11,27,18,45,19,36,26,53,0,0,0,0,0,0,0,0,12,39,5,17,10,34,4,5,4,6,2,5,4,5,5,19,7,27,4,6,11,18,2,2,0,0,KO/TKO ,174,1,3,Thiago Alves,Welterweight Bout
28,UFC 59: Reality Check,Jason Lambert vs Terry Martin,Jason Lambert,Terry Martin,0,0,31,39,15,26,66,75,29,41,0,2,1,4,0,0,0,0,167,215,16,24,6,17,9,9,1,1,6,6,8,8,0,6,2,7,17,18,9,14,14,15,4,5,KO/TKO ,457,2,3,Jason Lambert,Light Heavyweight Bout
29,UFC 59: Reality Check,David Terrell vs Scott Smith,David Terrell,Scott Smith,0,0,10,14,3,6,21,25,4,7,1,4,0,0,2,0,0,0,75,83,6,9,1,3,1,1,1,1,3,4,1,2,1,3,2,3,4,4,0,0,5,7,1,3,Submission ,188,1,3,David Terrell,Middleweight Bout
30,UFC 59: Reality Check,Karo Parisyan vs Nick Thompson,Karo Parisyan,Nick Thompson,0,0,18,30,2,7,23,41,4,9,2,3,1,1,0,0,0,0,243,10,16,28,1,6,2,2,0,0,0,0,1,1,1,2,1,2,0,0,1,3,17,28,0,2,KO/TKO ,284,1,3,Karo Parisyan,Welterweight Bout
31,UFC 59: Reality Check,Jeff Monson vs Marcio Cruz,Jeff Monson,Marcio Cruz,0,0,32,110,40,106,154,240,51,118,2,2,0,5,0,0,0,0,369,69,16,93,14,79,11,12,5,5,5,5,21,22,16,89,34,98,10,11,6,8,6,10,0,0,Decision - Split ,900,3,3,Jeff Monson,Heavyweight Bout
32,UFC 59: Reality Check,Evan Tanner vs Justin Levens,Evan Tanner,Justin Levens,0,0,10,17,2,4,16,24,6,8,1,2,0,0,2,1,0,0,132,19,6,11,0,1,2,3,1,2,2,3,1,1,1,1,1,2,3,7,1,2,6,9,0,0,Submission ,194,1,3,Evan Tanner,Middleweight Bout
33,UFC 59: Reality Check,Tito Ortiz vs Forrest Griffin,Tito Ortiz,Forrest Griffin,0,0,61,125,58,170,94,163,81,200,3,12,0,0,0,0,0,0,301,14,57,121,52,158,2,2,2,3,2,2,4,9,35,77,58,170,0,0,0,0,26,48,0,0,Decision - Split ,900,3,3,Tito Ortiz,Light Heavyweight Bout
34,UFC 59: Reality Check,Sean Sherk vs Nick Diaz,Sean Sherk,Nick Diaz,0,0,39,155,57,136,80,198,131,210,2,19,1,1,0,3,1,1,227,83,30,146,47,125,5,5,9,10,4,4,1,1,17,90,45,116,22,65,11,18,0,0,1,2,Decision - Unanimous ,900,3,3,Sean Sherk,Welterweight Bout
