,EVENT,BOUT,FIGHTER_RED,FIGHTER_BLUE,KD_RED,KD_BLUE,SIG_STR_LAND_RED,SIG_STR_ATT_RED,SIG_STR_LAND_BLUE,SIG_STR_ATT_BLUE,TOTAL_STR_LAND_RED,TOTAL_STR_ATT_RED,TOTAL_STR_LAND_BLUE,TOTAL_STR_ATT_BLUE,TD_RED,TD_ATT_RED,TD_BLUE,TD_ATT_BLUE,SUB_ATT_RED,SUB_ATT_BLUE,REV_RED,REV_BLUE,CTRL_TIME_RED(sec),CTRL_TIME-BLUE(sec),HEAD_LAND_RED,HEAD_ATT_RED,HEAD_LAND_BLUE,HEAD_ATT_BLUE,BODY_LAND_RED,BODY_ATT_RED,BODY_LAND_BLUE,BODY_ATT_BLUE,LEG_LAND_RED,LEG_ATT_RED,LEG_LAND_BLUE,LEG_ATT_BLUE,STD_STR_LAND_RED,STD_STR_ATT_RED,STD_STR_LAND_BLUE,STD_STR_ATT_BLUE,CLINCH_STR_LAND_RED,CLINCH_STR_ATT_RED,CLINCH_STR_LAND_BLUE,CLINCH_STR_ATT_BLUE,GRD_STR_LAND_RED,GRD_STR_ATT_RED,GRD_STR_LAND_BLUE,GRD_STR_ATT_BLUE,WIN_BY,Fight_Time_(sec),LAST_ROUND,FORMAT,WINNER,WeightClass
0,UFC 36: Worlds Collide,Sean Sherk vs Jutaro Nakao,Sean Sherk,Jutaro Nakao,0,0,21,30,4,20,227,241,8,24,7,14,0,0,0,0,0,0,730,2,16,25,1,13,1,1,2,6,4,4,1,1,2,6,2,14,5,6,2,6,14,18,0,0,Decision - Unanimous ,900,3,3,Sean Sherk,Welterweight Bout
1,UFC 36: Worlds Collide,Matt Serra vs Kelly Dullanty,Matt Serra,Kelly Dullanty,0,0,2,8,0,1,14,20,17,21,1,3,0,0,3,0,0,0,142,11,2,8,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,6,0,0,Submission ,178,1,3,Matt Serra,Lightweight Bout
2,UFC 36: Worlds Collide,Frank Mir vs Pete Williams,Frank Mir,Pete Williams,0,0,4,6,0,1,4,6,0,1,0,0,1,1,1,0,0,0,2,19,1,3,0,1,1,1,0,0,2,2,0,0,4,6,0,1,0,0,0,0,0,0,0,0,Submission ,46,1,3,Frank Mir,Heavyweight Bout
3,UFC 36: Worlds Collide,Evan Tanner vs Elvis Sinosic,Evan Tanner,Elvis Sinosic,0,0,7,13,4,8,12,18,7,11,0,0,0,0,0,0,0,0,103,0,5,10,0,4,2,3,2,2,0,0,2,2,0,4,2,5,2,3,2,3,5,6,0,0,TKO - Doctor's Stoppage ,126,1,3,Evan Tanner,Light Heavyweight Bout
4,UFC 36: Worlds Collide,Matt Lindland vs Pat Miletich,Matt Lindland,Pat Miletich,0,0,20,40,1,2,62,85,1,2,1,1,0,0,0,0,0,0,170,0,19,39,0,1,1,1,1,1,0,0,0,0,0,2,1,2,0,0,0,0,20,38,0,0,KO/TKO ,189,1,3,Matt Lindland,Middleweight Bout
5,UFC 36: Worlds Collide,Matt Hughes vs Hayato Sakurai,Matt Hughes,Hayato Sakurai,0,1,36,58,5,12,112,137,14,22,9,11,0,0,0,0,0,0,952,0,34,56,4,11,2,2,0,0,0,0,1,1,8,12,5,12,1,1,0,0,27,45,0,0,KO/TKO ,1081,4,5,Matt Hughes,UFC Welterweight Title Bout
6,UFC 36: Worlds Collide,Pedro Rizzo vs Andrei Arlovski,Pedro Rizzo,Andrei Arlovski,1,0,27,80,38,95,27,80,38,95,0,0,0,0,0,0,0,0,0,0,10,55,10,48,1,1,1,1,16,24,27,46,26,79,37,93,1,1,1,2,0,0,0,0,KO/TKO ,705,3,3,Pedro Rizzo,Heavyweight Bout
7,UFC 36: Worlds Collide,Josh Barnett vs Randy Couture,Josh Barnett,Randy Couture,0,0,44,75,18,21,53,85,33,37,0,0,1,3,1,0,0,0,115,438,31,60,13,15,12,13,4,5,1,2,1,1,0,2,0,1,13,15,8,8,31,58,10,12,KO/TKO ,575,2,5,Josh Barnett,UFC Heavyweight Title Bout
8,UFC 35: Throwdown,Eugene Jackson vs Keith Rockel,Eugene Jackson,Keith Rockel,0,0,1,3,6,10,44,47,21,25,0,1,2,2,1,2,0,0,4,331,1,3,4,8,0,0,1,1,0,0,1,1,1,3,2,2,0,0,0,0,0,0,4,8,Submission ,374,2,3,Eugene Jackson,Middleweight Bout
9,UFC 35: Throwdown,Gil Castillo vs Chris Brennan,Gil Castillo,Chris Brennan,0,0,17,33,8,23,120,150,97,115,3,3,0,2,0,1,0,0,782,8,16,32,2,14,0,0,4,5,1,1,2,4,5,7,3,17,0,0,4,5,12,26,1,1,Decision - Unanimous ,900,3,3,Gil Castillo,Welterweight Bout
10,UFC 35: Throwdown,Kevin Randleman vs Renato Sobral,Kevin Randleman,Renato Sobral,0,0,18,39,2,3,72,100,24,26,1,1,0,0,0,5,0,0,767,0,18,39,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,18,39,1,1,Decision - Unanimous ,900,3,3,Kevin Randleman,Light Heavyweight Bout
11,UFC 35: Throwdown,Andrei Semenov vs Ricardo Almeida,Andrei Semenov,Ricardo Almeida,1,0,5,29,12,35,35,59,12,35,0,0,1,4,0,5,0,0,147,45,5,29,6,29,0,0,1,1,0,0,5,5,3,22,7,28,1,2,5,7,1,5,0,0,KO/TKO ,421,2,3,Andrei Semenov,Middleweight Bout
12,UFC 35: Throwdown,Chuck Liddell vs Amar Suloev,Chuck Liddell,Amar Suloev,0,0,46,144,26,69,46,144,26,69,0,0,0,0,0,0,0,0,0,0,17,107,14,53,0,1,2,5,29,36,10,11,44,141,26,69,2,3,0,0,0,0,0,0,Decision - Unanimous ,900,3,3,Chuck Liddell,Light Heavyweight Bout
13,UFC 35: Throwdown,Murilo Bustamante vs Dave Menne,Murilo Bustamante,Dave Menne,1,0,9,12,14,33,14,17,23,42,2,7,0,0,0,0,0,0,187,0,8,11,3,20,1,1,5,5,0,0,6,8,4,5,7,25,1,3,7,8,4,4,0,0,KO/TKO ,344,2,5,Murilo Bustamante,UFC Middleweight Title Bout
14,UFC 35: Throwdown,Ricco Rodriguez vs Jeff Monson,Ricco Rodriguez,Jeff Monson,0,0,42,65,7,20,100,126,45,60,3,4,2,6,1,0,0,0,400,236,26,47,2,13,14,15,2,3,2,3,3,4,7,19,2,11,18,24,5,9,17,22,0,0,KO/TKO ,780,3,3,Ricco Rodriguez,Heavyweight Bout
15,UFC 35: Throwdown,Jens Pulver vs BJ Penn,Jens Pulver,BJ Penn,0,0,38,98,49,93,122,186,161,210,1,1,7,10,0,2,4,0,501,384,28,88,35,76,5,5,5,7,5,5,9,10,22,70,39,78,3,3,3,4,13,25,7,11,Decision - Majority ,1500,5,5,Jens Pulver,UFC Lightweight Title Bout
16,UFC 34: High Voltage,Frank Mir vs Roberto Traven,Frank Mir,Roberto Traven,0,0,3,7,1,2,6,11,1,2,0,0,0,0,1,0,0,0,37,0,1,5,1,2,0,0,0,0,2,2,0,0,3,7,1,2,0,0,0,0,0,0,0,0,Submission ,65,1,3,Frank Mir,Heavyweight Bout
17,UFC 34: High Voltage,Matt Lindland vs Phil Baroni,Matt Lindland,Phil Baroni,0,1,71,94,32,54,215,242,80,103,4,9,0,1,0,2,1,2,623,148,49,69,25,47,9,11,6,6,13,14,1,1,12,20,4,13,26,32,19,27,33,42,9,14,Decision - Majority ,900,3,3,Matt Lindland,Middleweight Bout
