,EVENT,BOUT,FIGHTER_RED,FIGHTER_BLUE,KD_RED,KD_BLUE,SIG_STR_LAND_RED,SIG_STR_ATT_RED,SIG_STR_LAND_BLUE,SIG_STR_ATT_BLUE,TOTAL_STR_LAND_RED,TOTAL_STR_ATT_RED,TOTAL_STR_LAND_BLUE,TOTAL_STR_ATT_BLUE,TD_RED,TD_ATT_RED,TD_BLUE,TD_ATT_BLUE,SUB_ATT_RED,SUB_ATT_BLUE,REV_RED,REV_BLUE,CTRL_TIME_RED(sec),CTRL_TIME-BLUE(sec),HEAD_LAND_RED,HEAD_ATT_RED,HEAD_LAND_BLUE,HEAD_ATT_BLUE,BODY_LAND_RED,BODY_ATT_RED,BODY_LAND_BLUE,BODY_ATT_BLUE,LEG_LAND_RED,LEG_ATT_RED,LEG_LAND_BLUE,LEG_ATT_BLUE,STD_STR_LAND_RED,STD_STR_ATT_RED,STD_STR_LAND_BLUE,STD_STR_ATT_BLUE,CLINCH_STR_LAND_RED,CLINCH_STR_ATT_RED,CLINCH_STR_LAND_BLUE,CLINCH_STR_ATT_BLUE,GRD_STR_LAND_RED,GRD_STR_ATT_RED,GRD_STR_LAND_BLUE,GRD_STR_ATT_BLUE,WIN_BY,Fight_Time_(sec),LAST_ROUND,FORMAT,WINNER,WeightClass
0,UFC 39: The Warriors Return,Sean Sherk vs Benji Radach,Sean Sherk,Benji Radach,0,0,6,8,7,18,15,17,36,47,1,5,0,0,0,0,0,0,188,7,6,8,6,14,0,0,1,4,0,0,0,0,0,1,4,10,0,0,3,8,6,7,0,0,TKO - Doctor's Stoppage ,256,1,3,Sean Sherk,Welterweight Bout
1,UFC 39: The Warriors Return,Matt Lindland vs Ivan Salaverry,Matt Lindland,Ivan Salaverry,0,0,16,63,32,70,85,145,50,89,6,9,0,2,0,0,0,1,478,36,14,58,4,37,0,2,10,11,2,3,18,22,6,43,27,62,4,8,5,8,6,12,0,0,Decision - Unanimous ,900,3,3,Matt Lindland,Middleweight Bout
2,UFC 39: The Warriors Return,Phil Baroni vs Dave Menne,Phil Baroni,Dave Menne,1,0,8,13,1,7,8,13,1,7,0,0,0,0,0,0,0,0,0,0,8,13,0,6,0,0,0,0,0,0,1,1,8,13,1,7,0,0,0,0,0,0,0,0,KO/TKO ,18,1,3,Phil Baroni,Middleweight Bout
3,UFC 39: The Warriors Return,Gan McGee vs Pedro Rizzo,Gan McGee,Pedro Rizzo,0,0,17,58,14,28,17,58,14,28,0,3,0,0,0,0,0,0,11,0,13,53,4,18,3,3,0,0,1,2,10,10,17,57,14,28,0,1,0,0,0,0,0,0,KO/TKO ,300,1,3,Gan McGee,Heavyweight Bout
4,UFC 39: The Warriors Return,Caol Uno vs Din Thomas,Caol Uno,Din Thomas,0,0,35,56,11,24,85,112,59,78,0,0,3,6,0,4,0,0,553,210,25,45,11,21,6,6,0,3,4,5,0,0,5,10,4,8,7,9,3,9,23,37,4,7,Decision - Unanimous ,900,3,3,Caol Uno,Lightweight Bout
5,UFC 39: The Warriors Return,BJ Penn vs Matt Serra,BJ Penn,Matt Serra,0,0,32,52,8,49,71,92,22,63,1,1,1,17,0,1,0,0,55,258,12,31,4,42,10,11,2,2,10,10,2,5,12,24,3,35,17,23,5,14,3,5,0,0,Decision - Unanimous ,900,3,3,BJ Penn,Lightweight Bout
6,UFC 39: The Warriors Return,Tim Sylvia vs Wesley Correira,Tim Sylvia,Wesley Correira,0,0,138,214,26,65,155,232,26,65,0,0,0,1,0,0,0,0,3,0,115,186,21,60,13,17,4,4,10,11,1,1,91,155,24,62,47,59,2,3,0,0,0,0,KO/TKO ,403,2,3,Tim Sylvia,Heavyweight Bout
7,UFC 39: The Warriors Return,Ricco Rodriguez vs Randy Couture,Ricco Rodriguez,Randy Couture,0,0,39,80,39,78,128,172,75,114,4,5,5,5,1,0,0,1,665,530,34,72,32,70,4,7,5,6,1,1,2,2,7,26,9,26,2,4,5,8,30,50,25,44,KO/TKO ,1384,5,5,Ricco Rodriguez,UFC Heavyweight Title Bout
8,UFC 38: Brawl at the Hall,Evan Tanner vs Chris Haseman,Evan Tanner,Chris Haseman,0,0,70,98,14,20,131,161,49,56,3,5,0,0,0,2,0,0,829,14,47,71,3,8,21,23,6,6,2,4,5,6,7,9,5,9,10,13,5,7,53,76,4,4,Decision - Unanimous ,900,3,3,Evan Tanner,Light Heavyweight Bout
9,UFC 38: Brawl at the Hall,Renato Sobral vs Elvis Sinosic,Renato Sobral,Elvis Sinosic,0,0,42,90,7,20,117,174,79,99,4,4,0,1,0,0,0,0,778,3,36,83,3,15,2,2,3,3,4,5,1,2,9,18,6,18,0,0,0,0,33,72,1,2,Decision - Unanimous ,900,3,3,Renato Sobral,Light Heavyweight Bout
