,EVENT,BOUT,FIGHTER_RED,FIGHTER_BLUE,KD_RED,KD_BLUE,SIG_STR_LAND_RED,SIG_STR_ATT_RED,SIG_STR_LAND_BLUE,SIG_STR_ATT_BLUE,TOTAL_STR_LAND_RED,TOTAL_STR_ATT_RED,TOTAL_STR_LAND_BLUE,TOTAL_STR_ATT_BLUE,TD_RED,TD_ATT_RED,TD_BLUE,TD_ATT_BLUE,SUB_ATT_RED,SUB_ATT_BLUE,REV_RED,REV_BLUE,CTRL_TIME_RED(sec),CTRL_TIME-BLUE(sec),HEAD_LAND_RED,HEAD_ATT_RED,HEAD_LAND_BLUE,HEAD_ATT_BLUE,BODY_LAND_RED,BODY_ATT_RED,BODY_LAND_BLUE,BODY_ATT_BLUE,LEG_LAND_RED,LEG_ATT_RED,LEG_LAND_BLUE,LEG_ATT_BLUE,STD_STR_LAND_RED,STD_STR_ATT_RED,STD_STR_LAND_BLUE,STD_STR_ATT_BLUE,CLINCH_STR_LAND_RED,CLINCH_STR_ATT_RED,CLINCH_STR_LAND_BLUE,CLINCH_STR_ATT_BLUE,GRD_STR_LAND_RED,GRD_STR_ATT_RED,GRD_STR_LAND_BLUE,GRD_STR_ATT_BLUE,WIN_BY,Fight_Time_(sec),LAST_ROUND,FORMAT,WINNER,WeightClass
0,UFC 58: USA vs Canada,Tom Murphy vs Icho Larenas,Tom Murphy,Icho Larenas,0,0,30,42,2,13,82,100,15,29,6,7,0,0,2,0,0,0,491,0,30,42,1,11,0,0,1,1,0,0,0,1,0,4,0,9,4,7,2,4,26,31,0,0,KO/TKO ,719,3,3,Tom Murphy,Heavyweight Bout
1,UFC 58: USA vs Canada,Jason Lambert vs Rob MacDonald,Jason Lambert,Rob MacDonald,1,0,7,16,3,9,13,24,3,9,1,2,0,0,1,0,0,0,60,20,5,14,3,9,1,1,0,0,1,1,0,0,2,7,1,4,4,7,2,5,1,2,0,0,Submission ,114,1,3,Jason Lambert,Light Heavyweight Bout
2,UFC 58: USA vs Canada,Sam Stout vs Spencer Fisher,Sam Stout,Spencer Fisher,0,0,62,183,53,148,76,199,77,172,0,0,4,9,0,3,0,1,60,259,38,152,31,116,15,22,15,24,9,9,7,8,40,148,36,116,19,29,12,18,3,6,5,14,Decision - Split ,900,3,3,Sam Stout,Lightweight Bout
3,UFC 58: USA vs Canada,Mark Hominick vs Yves Edwards,Mark Hominick,Yves Edwards,0,0,22,58,20,74,31,67,21,75,0,0,1,2,1,0,0,0,22,70,13,49,10,63,6,6,5,6,3,3,5,5,11,45,17,69,11,13,3,5,0,0,0,0,Submission ,412,2,3,Mark Hominick,Lightweight Bout
4,UFC 58: USA vs Canada,Nate Marquardt vs Joe Doerksen,Nate Marquardt,Joe Doerksen,0,1,56,103,26,80,71,118,71,125,5,5,2,8,2,0,1,0,405,101,36,80,19,70,7,10,5,8,13,13,2,2,44,82,21,69,5,12,2,4,7,9,3,7,Decision - Unanimous ,900,3,3,Nate Marquardt,Middleweight Bout
5,UFC 58: USA vs Canada,Georges St-Pierre vs BJ Penn,Georges St-Pierre,BJ Penn,0,0,59,135,37,85,135,212,101,156,4,5,1,1,0,1,0,0,445,18,38,102,28,76,7,10,8,8,14,23,1,1,46,108,28,71,7,18,9,14,6,9,0,0,Decision - Split ,900,3,3,Georges St-Pierre,Welterweight Bout
6,UFC 58: USA vs Canada,Mike Swick vs Steve Vigneault,Mike Swick,Steve Vigneault,0,0,13,22,6,13,13,22,8,15,0,0,0,1,1,0,0,0,49,13,4,12,1,7,0,0,1,2,9,10,4,4,4,12,1,7,9,10,5,6,0,0,0,0,Submission ,129,1,3,Mike Swick,Middleweight Bout
7,UFC 58: USA vs Canada,Rich Franklin vs David Loiseau,Rich Franklin,David Loiseau,2,1,127,244,21,72,211,339,26,78,5,6,1,1,0,0,1,0,517,15,82,190,11,57,42,51,10,15,3,3,0,0,74,172,17,63,32,46,4,9,21,26,0,0,Decision - Unanimous ,1500,5,5,Rich Franklin,UFC Middleweight Title Bout
8,UFC 57: Liddell vs Couture 3,Keith Jardine vs Mike Whitehead,Keith Jardine,Mike Whitehead,0,0,44,131,27,73,90,177,37,83,0,0,5,12,0,0,0,0,0,383,35,120,15,58,2,3,8,9,7,8,4,6,38,115,22,63,6,16,3,7,0,0,2,3,Decision - Unanimous ,900,3,3,Keith Jardine,Light Heavyweight Bout
9,UFC 57: Liddell vs Couture 3,Jeff Monson vs Branden Lee Hinkle,Jeff Monson,Branden Lee Hinkle,0,0,10,11,5,8,28,31,10,13,1,3,0,0,1,1,1,0,181,73,3,4,3,6,6,6,2,2,1,1,0,0,0,0,0,3,3,4,2,2,7,7,3,3,Submission ,275,1,3,Jeff Monson,Heavyweight Bout
