,EVENT,BOUT,FIGHTER_RED,FIGHTER_BLUE,KD_RED,KD_BLUE,SIG_STR_LAND_RED,SIG_STR_ATT_RED,SIG_STR_LAND_BLUE,SIG_STR_ATT_BLUE,TOTAL_STR_LAND_RED,TOTAL_STR_ATT_RED,TOTAL_STR_LAND_BLUE,TOTAL_STR_ATT_BLUE,TD_RED,TD_ATT_RED,TD_BLUE,TD_ATT_BLUE,SUB_ATT_RED,SUB_ATT_BLUE,REV_RED,REV_BLUE,CTRL_TIME_RED(sec),CTRL_TIME-BLUE(sec),HEAD_LAND_RED,HEAD_ATT_RED,HEAD_LAND_BLUE,HEAD_ATT_BLUE,BODY_LAND_RED,BODY_ATT_RED,BODY_LAND_BLUE,BODY_ATT_BLUE,LEG_LAND_RED,LEG_ATT_RED,LEG_LAND_BLUE,LEG_ATT_BLUE,STD_STR_LAND_RED,STD_STR_ATT_RED,STD_STR_LAND_BLUE,STD_STR_ATT_BLUE,CLINCH_STR_LAND_RED,CLINCH_STR_ATT_RED,CLINCH_STR_LAND_BLUE,CLINCH_STR_ATT_BLUE,GRD_STR_LAND_RED,GRD_STR_ATT_RED,GRD_STR_LAND_BLUE,GRD_STR_ATT_BLUE,WIN_BY,Fight_Time_(sec),LAST_ROUND,FORMAT,WINNER,WeightClass
0,UFC 119: Mir vs Cro Cop,Sean McCorkle vs Mark Hunt,Mark Hunt,Sean McCorkle,0,0,2,8,0,4,3,9,0,4,1,1,0,2,0,2,0,0,34,0,2,8,0,4,0,0,0,0,0,0,0,0,1,7,0,4,0,0,0,0,1,1,0,0,Submission ,63,1,3,Sean McCorkle,Heavyweight Bout
1,UFC 119: Mir vs Cro Cop,TJ Grant vs Julio Paulino,TJ Grant,Julio Paulino,0,0,17,33,12,42,36,59,39,71,4,6,0,0,1,1,2,1,540,192,9,20,5,28,6,11,6,11,2,2,1,3,2,5,4,25,6,15,4,10,9,13,4,7,Decision - Unanimous ,900,3,3,TJ Grant,Welterweight Bout
2,UFC 119: Mir vs Cro Cop,Waylon Lowe vs Steve Lopez,Steve Lopez,Waylon Lowe,0,0,23,71,26,61,68,117,74,118,0,0,5,7,0,0,0,0,0,412,6,48,25,59,3,5,1,2,14,18,0,0,21,65,16,44,0,1,0,0,2,5,10,17,Decision - Split ,900,3,3,Waylon Lowe,Lightweight Bout
3,UFC 119: Mir vs Cro Cop,Thiago Tavares vs Pat Audinwood,Thiago Tavares,Pat Audinwood,0,0,7,11,3,8,50,63,6,13,2,2,0,0,1,0,0,0,178,5,5,9,1,6,2,2,2,2,0,0,0,0,1,3,3,8,0,0,0,0,6,8,0,0,Submission ,227,1,3,Thiago Tavares,Lightweight Bout
4,UFC 119: Mir vs Cro Cop,Matt Mitrione vs Joey Beltran,Matt Mitrione,Joey Beltran,0,0,76,152,52,157,86,165,93,207,0,0,1,3,0,0,0,0,0,301,61,135,35,137,7,8,13,16,8,9,4,4,73,144,29,128,3,8,14,18,0,0,9,11,Decision - Unanimous ,900,3,3,Matt Mitrione,Heavyweight Bout
5,UFC 119: Mir vs Cro Cop,CB Dollaway vs Joe Doerksen,CB Dollaway,Joe Doerksen,0,0,1,2,1,1,1,2,6,6,0,0,0,2,2,0,0,0,8,97,0,1,0,0,1,1,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,Submission ,133,1,3,CB Dollaway,Middleweight Bout
6,UFC 119: Mir vs Cro Cop,Melvin Guillard vs Jeremy Stephens,Melvin Guillard,Jeremy Stephens,0,1,73,168,62,155,73,168,62,155,0,1,0,2,0,0,0,0,0,2,42,132,18,83,23,27,18,25,8,9,26,47,72,166,62,154,1,2,0,0,0,0,0,1,Decision - Split ,900,3,3,Melvin Guillard,Lightweight Bout
7,UFC 119: Mir vs Cro Cop,Sean Sherk vs Evan Dunham,Sean Sherk,Evan Dunham,0,0,38,115,75,164,81,165,123,216,5,18,0,0,0,7,1,0,490,34,31,107,65,149,3,4,9,14,4,4,1,1,31,107,69,156,2,3,6,8,5,5,0,0,Decision - Split ,900,3,3,Sean Sherk,Lightweight Bout
8,UFC 119: Mir vs Cro Cop,Chris Lytle vs Matt Serra,Matt Serra,Chris Lytle,0,0,124,298,153,297,133,311,172,317,0,1,0,0,0,0,0,0,0,0,64,226,133,276,48,59,20,21,12,13,0,0,123,295,150,293,1,3,3,4,0,0,0,0,Decision - Unanimous ,900,3,3,Chris Lytle,Welterweight Bout
9,UFC 119: Mir vs Cro Cop,Ryan Bader vs Rogerio Nogueira,Rogerio Nogueira,Ryan Bader,0,0,28,127,42,127,39,138,66,161,0,0,5,16,0,0,0,0,6,223,21,113,30,114,4,11,8,9,3,3,4,4,25,122,24,91,3,5,7,16,0,0,11,20,Decision - Unanimous ,900,3,3,Ryan Bader,Light Heavyweight Bout
