,EVENT,BOUT,FIGHTER_RED,FIGHTER_BLUE,KD_RED,KD_BLUE,SIG_STR_LAND_RED,SIG_STR_ATT_RED,SIG_STR_LAND_BLUE,SIG_STR_ATT_BLUE,TOTAL_STR_LAND_RED,TOTAL_STR_ATT_RED,TOTAL_STR_LAND_BLUE,TOTAL_STR_ATT_BLUE,TD_RED,TD_ATT_RED,TD_BLUE,TD_ATT_BLUE,SUB_ATT_RED,SUB_ATT_BLUE,REV_RED,REV_BLUE,CTRL_TIME_RED(sec),CTRL_TIME-BLUE(sec),HEAD_LAND_RED,HEAD_ATT_RED,HEAD_LAND_BLUE,HEAD_ATT_BLUE,BODY_LAND_RED,BODY_ATT_RED,BODY_LAND_BLUE,BODY_ATT_BLUE,LEG_LAND_RED,LEG_ATT_RED,LEG_LAND_BLUE,LEG_ATT_BLUE,STD_STR_LAND_RED,STD_STR_ATT_RED,STD_STR_LAND_BLUE,STD_STR_ATT_BLUE,CLINCH_STR_LAND_RED,CLINCH_STR_ATT_RED,CLINCH_STR_LAND_BLUE,CLINCH_STR_ATT_BLUE,GRD_STR_LAND_RED,GRD_STR_ATT_RED,GRD_STR_LAND_BLUE,GRD_STR_ATT_BLUE,WIN_BY,Fight_Time_(sec),LAST_ROUND,FORMAT,WINNER,WeightClass
0,UFC 79: Nemesis,Mark Bocek vs Doug Evans,Mark Bocek,Doug Evans,0,0,26,58,22,66,87,129,52,97,7,17,1,1,0,1,0,1,638,52,16,48,14,58,5,5,7,7,5,5,1,1,3,23,14,52,12,14,8,14,11,21,0,0,Decision - Unanimous ,900,3,3,Mark Bocek,Lightweight Bout
1,UFC 79: Nemesis,Roan Carneiro vs Tony DeSouza,Roan Carneiro,Tony DeSouza,0,0,24,27,9,15,73,77,37,44,3,3,0,0,2,1,0,1,287,138,19,22,6,12,0,0,3,3,5,5,0,0,6,8,0,5,4,5,5,5,14,14,4,5,KO/TKO ,513,2,3,Roan Carneiro,Welterweight Bout
2,UFC 79: Nemesis,Dean Lister vs Jordan Radev,Dean Lister,Jordan Radev,0,0,31,99,20,89,38,109,49,118,2,10,0,0,0,0,0,0,157,46,17,71,12,74,9,20,2,2,5,8,6,13,24,85,16,75,1,6,3,9,6,8,1,5,Decision - Unanimous ,900,3,3,Dean Lister,Middleweight Bout
3,UFC 79: Nemesis,Manvel Gamburyan vs Nate Mohr,Manvel Gamburyan,Nate Mohr,0,0,3,6,2,3,8,12,7,8,1,3,0,0,1,0,0,0,59,12,2,5,2,3,0,0,0,0,1,1,0,0,2,4,1,2,0,0,0,0,1,2,1,1,Submission ,91,1,3,Manvel Gamburyan,Lightweight Bout
4,UFC 79: Nemesis,James Irvin vs Luiz Cane,James Irvin,Luiz Cane,0,0,5,19,9,20,5,19,10,21,0,1,1,1,0,0,0,0,1,12,2,15,6,17,1,1,2,2,2,3,1,1,5,19,8,19,0,0,0,0,0,0,1,1,DQ ,111,1,3,James Irvin,Light Heavyweight Bout
5,UFC 79: Nemesis,Rich Clementi vs Melvin Guillard,Rich Clementi,Melvin Guillard,0,0,6,9,5,18,10,13,5,18,2,2,1,1,2,0,1,0,108,28,1,4,5,18,1,1,0,0,4,4,0,0,6,8,5,17,0,1,0,1,0,0,0,0,Submission ,280,1,3,Rich Clementi,Lightweight Bout
6,UFC 79: Nemesis,Lyoto Machida vs Rameau Thierry Sokoudjou,Lyoto Machida,Rameau Thierry Sokoudjou,1,0,21,48,6,24,40,68,19,38,0,0,2,4,5,2,1,0,334,22,12,36,4,20,3,5,0,1,6,7,2,3,10,17,4,20,0,1,1,2,11,30,1,2,Submission ,560,2,3,Lyoto Machida,Light Heavyweight Bout
7,UFC 79: Nemesis,Eddie Sanchez vs Soa Palelei,Eddie Sanchez,Soa Palelei,0,0,52,115,21,37,145,212,27,43,1,5,1,1,0,0,0,0,201,349,39,98,6,18,9,10,8,12,4,7,7,7,28,79,5,15,24,35,16,20,0,1,0,2,KO/TKO ,804,3,3,Eddie Sanchez,Heavyweight Bout
8,UFC 79: Nemesis,Chuck Liddell vs Wanderlei Silva,Chuck Liddell,Wanderlei Silva,0,1,58,175,44,177,59,179,45,178,2,2,0,0,0,0,0,0,70,2,51,163,31,161,3,4,6,6,4,8,7,10,52,165,40,171,6,10,4,5,0,0,0,1,Decision - Unanimous ,900,3,3,Chuck Liddell,Light Heavyweight Bout
9,UFC 79: Nemesis,Georges St-Pierre vs Matt Hughes,Georges St-Pierre,Matt Hughes,0,0,28,40,5,13,97,117,10,19,3,3,0,3,3,0,0,0,420,17,18,27,3,11,8,9,2,2,2,4,0,0,4,12,0,6,2,3,2,2,22,25,3,5,Submission ,594,2,5,Georges St-Pierre,UFC Interim Welterweight Title Bout
10,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Jonathan Goulet vs Paul Georgieff,Jonathan Goulet,Paul Georgieff,0,0,11,17,12,30,33,44,18,36,3,3,0,2,1,0,0,0,212,0,10,16,9,27,1,1,1,1,0,0,2,2,4,9,8,24,0,0,1,2,7,8,3,4,Submission ,282,1,3,Jonathan Goulet,Welterweight Bout
11,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Roman Mitichyan vs Dorian Price,Roman Mitichyan,Dorian Price,0,0,0,0,0,2,0,0,0,2,1,1,0,0,1,0,0,0,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Submission ,23,1,3,Roman Mitichyan,Welterweight Bout
12,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Matt Arroyo vs John Kolosci,Matt Arroyo,John Kolosci,0,0,4,8,1,5,19,23,12,23,0,0,0,2,5,0,0,0,60,202,4,8,1,5,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,4,4,1,2,Submission ,282,1,3,Matt Arroyo,Welterweight Bout
13,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Troy Mandaloniz vs Richie Hightower,Troy Mandaloniz,Richie Hightower,1,0,30,38,20,56,36,44,30,67,0,2,1,1,0,0,0,0,98,19,16,24,14,48,1,1,4,6,13,13,2,2,15,22,14,45,12,13,6,10,3,3,0,1,KO/TKO ,260,1,3,Troy Mandaloniz,Welterweight Bout
14,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Ben Saunders vs Dan Barrera,Ben Saunders,Dan Barrera,0,0,18,25,12,17,143,153,59,64,0,0,1,12,4,0,0,1,349,429,10,17,6,11,7,7,0,0,1,1,6,6,5,11,0,1,4,5,6,6,9,9,6,10,Decision - Unanimous ,900,3,3,Ben Saunders,Welterweight Bout
15,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,George Sotiropoulos vs Billy Miles,George Sotiropoulos,Billy Miles,0,0,2,3,0,3,24,28,0,3,0,0,0,2,1,0,0,0,72,19,2,3,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,2,0,0,Submission ,96,1,3,George Sotiropoulos,Welterweight Bout
16,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,War Machine vs Jared Rollins,War Machine,Jared Rollins,0,1,29,48,40,70,127,156,78,111,1,2,2,4,0,1,1,0,434,223,27,46,40,70,2,2,0,0,0,0,0,0,3,9,3,11,0,0,5,6,26,39,32,53,KO/TKO ,721,3,3,War Machine,Welterweight Bout
17,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Mac Danzig vs Tommy Speer,Mac Danzig,Tommy Speer,0,0,10,14,4,7,36,41,5,8,1,2,0,0,1,0,0,0,74,28,5,8,0,2,5,6,2,3,0,0,2,2,0,0,0,2,5,6,4,5,5,8,0,0,Submission ,121,1,3,Mac Danzig,Ultimate Fighter 6 Welterweight Tournament Title Bout
18,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Roger Huerta vs Clay Guida,Roger Huerta,Clay Guida,0,1,31,102,47,85,53,140,100,150,0,0,6,11,3,1,2,0,50,353,28,96,32,67,3,6,14,17,0,0,1,1,29,99,30,57,0,0,0,0,2,3,17,28,Submission ,651,3,3,Roger Huerta,Lightweight Bout
19,UFC 78: Validation,Akihiro Gono vs Tamdan McCrory,Akihiro Gono,Tamdan McCrory,1,0,27,44,31,62,39,56,32,63,1,1,0,0,1,0,0,0,156,67,4,13,14,41,9,13,10,13,14,18,7,8,20,33,17,33,3,5,14,29,4,6,0,0,Submission ,499,2,3,Akihiro Gono,Welterweight Bout
20,UFC 78: Validation,Marcus Aurelio vs Luke Caudillo,Marcus Aurelio,Luke Caudillo,0,0,20,27,6,13,71,81,11,18,1,4,0,1,0,0,0,0,143,15,15,21,3,9,5,6,3,3,0,0,0,1,4,9,2,8,4,5,4,5,12,13,0,0,KO/TKO ,269,1,3,Marcus Aurelio,Lightweight Bout
21,UFC 78: Validation,Joe Lauzon vs Jason Reinhardt,Joe Lauzon,Jason Reinhardt,0,0,5,7,1,3,8,10,1,3,1,2,0,0,1,0,0,0,56,0,3,5,1,3,2,2,0,0,0,0,0,0,1,3,0,2,2,2,1,1,2,2,0,0,Submission ,74,1,3,Joe Lauzon,Lightweight Bout
22,UFC 78: Validation,Thiago Alves vs Chris Lytle,Thiago Alves,Chris Lytle,1,0,39,90,42,128,48,99,88,176,0,0,1,1,0,0,0,0,32,149,14,59,23,102,7,9,14,19,18,22,5,7,28,69,29,109,9,18,12,18,2,3,1,1,TKO - Doctor's Stoppage ,600,2,3,Thiago Alves,Welterweight Bout
23,UFC 78: Validation,Frankie Edgar vs Spencer Fisher,Frankie Edgar,Spencer Fisher,0,0,42,79,6,21,162,212,31,47,8,12,0,0,0,0,0,0,790,0,39,76,3,17,3,3,2,3,0,0,1,1,3,8,3,16,2,2,2,4,37,69,1,1,Decision - Unanimous ,900,3,3,Frankie Edgar,Lightweight Bout
24,UFC 78: Validation,Ed Herman vs Joe Doerksen,Ed Herman,Joe Doerksen,1,0,43,74,9,19,89,122,16,26,2,3,1,5,0,3,1,0,394,114,31,61,5,15,12,13,3,3,0,0,1,1,6,21,7,15,9,13,2,4,28,40,0,0,KO/TKO ,639,3,3,Ed Herman,Middleweight Bout
25,UFC 78: Validation,Karo Parisyan vs Ryo Chonan,Karo Parisyan,Ryo Chonan,0,0,49,110,35,87,117,186,57,110,7,9,0,0,0,0,0,1,444,110,45,105,15,61,1,1,13,16,3,4,7,10,19,54,18,61,5,9,17,24,25,47,0,2,Decision - Unanimous ,900,3,3,Karo Parisyan,Welterweight Bout
26,UFC 78: Validation,Thiago Silva vs Houston Alexander,Thiago Silva,Houston Alexander,0,0,22,35,2,8,33,46,2,8,1,1,1,1,0,0,0,0,116,29,16,29,0,5,5,5,1,2,1,1,1,1,4,5,0,6,3,3,2,2,15,27,0,0,KO/TKO ,205,1,3,Thiago Silva,Light Heavyweight Bout
27,UFC 78: Validation,Rashad Evans vs Michael Bisping,Rashad Evans,Michael Bisping,0,0,23,87,40,96,38,108,52,112,6,16,2,2,0,0,0,0,462,34,22,86,23,78,1,1,11,11,0,0,6,7,18,71,25,78,1,4,15,18,4,12,0,0,Decision - Split ,900,3,3,Rashad Evans,Light Heavyweight Bout
28,UFC 77: Hostile Territory,Matt Grice vs Jason Black,Matt Grice,Jason Black,1,0,44,73,10,20,132,170,43,56,3,3,0,1,0,7,0,1,764,36,38,66,7,17,6,6,3,3,0,1,0,0,8,16,2,11,5,5,3,4,31,52,5,5,Decision - Split ,900,3,3,Matt Grice,Lightweight Bout
29,UFC 77: Hostile Territory,Joshua Burkman vs Forrest Petz,Joshua Burkman,Forrest Petz,1,0,44,87,65,138,51,95,113,187,3,13,0,0,2,0,0,1,150,216,34,71,30,91,5,10,33,45,5,6,2,2,33,69,40,105,5,12,24,29,6,6,1,4,Decision - Split ,900,3,3,Joshua Burkman,Welterweight Bout
30,UFC 77: Hostile Territory,Demian Maia vs Ryan Jensen,Demian Maia,Ryan Jensen,0,0,3,3,2,3,9,11,6,7,2,2,0,0,1,0,0,0,146,0,1,1,2,3,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,2,2,2,2,Submission ,160,1,3,Demian Maia,Middleweight Bout
31,UFC 77: Hostile Territory,Yushin Okami vs Jason MacDonald,Yushin Okami,Jason MacDonald,0,0,41,82,25,49,78,123,69,95,1,1,0,9,1,0,0,0,532,133,33,72,0,22,6,8,2,3,2,2,23,24,12,34,2,22,10,13,23,27,19,35,0,0,Decision - Unanimous ,900,3,3,Yushin Okami,Middleweight Bout
32,UFC 77: Hostile Territory,Alan Belcher vs Kalib Starnes,Alan Belcher,Kalib Starnes,0,0,57,100,40,89,61,104,45,94,0,0,1,3,0,0,0,0,51,28,37,77,34,79,8,11,5,9,12,12,1,1,34,66,29,75,23,34,11,14,0,0,0,0,TKO - Doctor's Stoppage ,399,2,3,Alan Belcher,Middleweight Bout
