,EVENT,BOUT,FIGHTER_RED,FIGHTER_BLUE,KD_RED,KD_BLUE,SIG_STR_LAND_RED,SIG_STR_ATT_RED,SIG_STR_LAND_BLUE,SIG_STR_ATT_BLUE,TOTAL_STR_LAND_RED,TOTAL_STR_ATT_RED,TOTAL_STR_LAND_BLUE,TOTAL_STR_ATT_BLUE,TD_RED,TD_ATT_RED,TD_BLUE,TD_ATT_BLUE,SUB_ATT_RED,SUB_ATT_BLUE,REV_RED,REV_BLUE,CTRL_TIME_RED(sec),CTRL_TIME-BLUE(sec),HEAD_LAND_RED,HEAD_ATT_RED,HEAD_LAND_BLUE,HEAD_ATT_BLUE,BODY_LAND_RED,BODY_ATT_RED,BODY_LAND_BLUE,BODY_ATT_BLUE,LEG_LAND_RED,LEG_ATT_RED,LEG_LAND_BLUE,LEG_ATT_BLUE,STD_STR_LAND_RED,STD_STR_ATT_RED,STD_STR_LAND_BLUE,STD_STR_ATT_BLUE,CLINCH_STR_LAND_RED,CLINCH_STR_ATT_RED,CLINCH_STR_LAND_BLUE,CLINCH_STR_ATT_BLUE,GRD_STR_LAND_RED,GRD_STR_ATT_RED,GRD_STR_LAND_BLUE,GRD_STR_ATT_BLUE,WIN_BY,Fight_Time_(sec),LAST_ROUND,FORMAT,WINNER,WeightClass,TitleFight
0,UFC 277: Pena vs Nunes 2,Orion Cosce vs Blood Diamond,Orion Cosce,Blood Diamond,0,0,25,52,63,98,77,107,90,126,3,8,0,1,0,0,0,0,566,68,14,38,28,55,10,13,26,29,1,1,9,14,8,27,34,60,9,14,29,37,8,11,0,1,Decision - Unanimous ,900,3,3,Orion Cosce,Welterweight Bout,No
1,UFC 277: Pena vs Nunes 2,Nicolae Negumereanu vs Ihor Potieria,Nicolae Negumereanu,Ihor Potieria,0,0,51,95,38,70,72,122,52,85,2,3,0,0,0,0,0,0,241,0,44,84,26,58,7,11,3,3,0,0,9,9,23,57,31,62,25,32,6,7,3,6,1,1,KO/TKO ,513,2,3,Nicolae Negumereanu,Light Heavyweight Bout,No
2,UFC 277: Pena vs Nunes 2,Joselyne Edwards vs Ji Yeon Kim,Joselyne Edwards,Ji Yeon Kim,0,0,101,234,78,193,116,250,87,203,1,3,0,0,0,0,0,0,121,19,31,106,33,132,52,97,22,35,18,31,23,26,91,221,70,182,8,10,7,10,2,3,1,1,Decision - Split ,900,3,3,Joselyne Edwards,Women's Bantamweight Bout,No
3,UFC 277: Pena vs Nunes 2,Michael Morales vs Adam Fugitt,Michael Morales,Adam Fugitt,2,0,83,151,64,113,89,157,70,120,0,1,1,8,0,0,0,0,12,111,74,140,32,74,7,9,20,26,2,2,12,13,64,127,58,99,12,17,6,10,7,7,0,4,KO/TKO ,669,3,3,Michael Morales,Welterweight Bout,No
4,UFC 277: Pena vs Nunes 2,Drakkar Klose vs Rafa Garcia,Drakkar Klose,Rafa Garcia,0,0,61,115,34,57,111,175,83,111,2,10,3,11,0,0,0,0,125,174,24,75,23,45,27,29,8,8,10,11,3,4,32,83,23,44,24,25,11,13,5,7,0,0,Decision - Unanimous ,900,3,3,Drakkar Klose,Lightweight Bout,No
5,UFC 277: Pena vs Nunes 2,Hamdy Abdelwahab vs DonTale Mayes,DonTale Mayes,Hamdy Abdelwahab,0,1,47,116,58,110,54,123,106,164,0,0,3,4,0,0,0,0,0,396,28,90,51,102,12,17,5,6,7,9,2,2,45,111,30,74,2,5,2,3,0,0,26,33,Decision - Split ,900,3,3,Hamdy Abdelwahab,Heavyweight Bout,No
6,UFC 277: Pena vs Nunes 2,Drew Dober vs Rafael Alves,Drew Dober,Rafael Alves,1,0,62,151,37,68,62,151,46,80,0,0,1,3,0,0,0,0,4,141,38,121,24,55,20,24,8,8,4,6,5,5,60,149,31,60,0,0,1,1,2,2,5,7,KO/TKO ,690,3,3,Drew Dober,Lightweight Bout,No
7,UFC 277: Pena vs Nunes 2,Alex Morono vs Matthew Semelsberger,Alex Morono,Matthew Semelsberger,0,1,106,194,74,229,119,209,86,241,0,4,1,1,0,0,0,0,24,158,92,179,32,170,14,15,21,33,0,0,21,26,98,184,60,209,7,9,9,12,1,1,5,8,Decision - Unanimous ,900,3,3,Alex Morono,Welterweight Bout,No
8,UFC 277: Pena vs Nunes 2,Magomed Ankalaev vs Anthony Smith,Magomed Ankalaev,Anthony Smith,0,0,46,79,18,36,64,102,21,39,0,0,0,1,0,0,0,0,146,51,31,60,6,21,6,9,5,8,9,10,7,7,23,46,17,35,1,1,0,0,22,32,1,1,KO/TKO ,489,2,3,Magomed Ankalaev,Light Heavyweight Bout,No
9,UFC 277: Pena vs Nunes 2,Alexandre Pantoja vs Alex Perez,Alexandre Pantoja,Alex Perez,0,0,8,12,10,14,8,12,10,14,1,1,0,1,1,0,0,0,66,0,7,11,9,13,1,1,0,0,0,0,1,1,7,11,10,13,1,1,0,1,0,0,0,0,Submission ,91,1,3,Alexandre Pantoja,Flyweight Bout,No
10,UFC 277: Pena vs Nunes 2,Sergei Pavlovich vs Derrick Lewis,Derrick Lewis,Sergei Pavlovich,0,1,4,6,15,24,4,6,15,24,0,0,0,0,0,0,0,0,0,2,2,4,15,24,1,1,0,0,1,1,0,0,4,6,14,22,0,0,0,0,0,0,1,2,KO/TKO ,55,1,3,Sergei Pavlovich,Heavyweight Bout,No
11,UFC 277: Pena vs Nunes 2,Brandon Moreno vs Kai Kara-France,Brandon Moreno,Kai Kara-France,1,0,58,151,53,110,59,153,66,123,0,3,1,2,0,0,0,0,45,24,43,133,24,71,12,15,3,4,3,3,26,35,47,132,48,104,0,3,0,0,11,16,5,6,KO/TKO ,874,3,5,Brandon Moreno,Flyweight Bout,Interim
12,UFC 277: Pena vs Nunes 2,Amanda Nunes vs Julianna Pena,Julianna Pena,Amanda Nunes,0,3,60,154,85,152,130,239,126,201,0,0,6,8,1,1,0,0,0,709,54,144,67,128,6,10,10,14,0,0,8,10,59,151,57,117,1,3,0,1,0,0,28,34,Decision - Unanimous ,1500,5,5,Amanda Nunes,Women's Bantamweight Bout,Yes
13,UFC Fight Night: Blaydes vs Aspinall,Nicolas Dalby vs Claudio Silva,Claudio Silva,Nicolas Dalby,0,0,11,21,45,94,46,59,61,114,4,12,1,1,0,1,0,1,437,257,4,13,32,78,4,5,9,12,3,3,4,4,11,20,21,59,0,1,16,21,0,0,8,14,Decision - Unanimous ,900,3,3,Nicolas Dalby,Welterweight Bout,No
14,UFC Fight Night: Blaydes vs Aspinall,Victoria Leonardo vs Mandy Bohm,Mandy Bohm,Victoria Leonardo,0,0,52,93,39,110,83,124,85,166,0,1,2,6,1,0,0,0,55,426,26,66,21,80,14,15,18,26,12,12,0,4,35,75,25,94,17,17,13,15,0,1,1,1,Decision - Unanimous ,900,3,3,Victoria Leonardo,Women's Flyweight Bout,No
15,UFC Fight Night: Blaydes vs Aspinall,Jai Herbert vs Kyle Nelson,Jai Herbert,Kyle Nelson,0,0,36,64,41,62,84,116,55,77,0,1,0,4,0,0,0,0,357,186,16,43,15,34,17,18,11,13,3,3,15,15,22,50,28,47,13,13,13,15,1,1,0,0,Decision - Unanimous ,900,3,3,Jai Herbert,Lightweight Bout,No
16,UFC Fight Night: Blaydes vs Aspinall,Muhammad Mokaev vs Charles Johnson,Muhammad Mokaev,Charles Johnson,0,0,12,29,12,22,32,54,71,84,12,26,0,0,0,0,0,0,704,27,5,17,3,5,3,7,6,9,4,5,3,8,10,26,7,17,1,2,3,3,1,1,2,2,Decision - Unanimous ,900,3,3,Muhammad Mokaev,Flyweight Bout,No
17,UFC Fight Night: Blaydes vs Aspinall,Jonathan Pearce vs Makwan Amirkhani,Makwan Amirkhani,Jonathan Pearce,0,0,11,22,90,112,12,23,144,178,3,7,4,5,0,0,0,0,85,286,9,19,75,94,0,1,11,14,2,2,4,4,11,22,16,28,0,0,37,37,0,0,37,47,KO/TKO ,550,2,3,Jonathan Pearce,Featherweight Bout,No
18,UFC Fight Night: Blaydes vs Aspinall,Nathaniel Wood vs Charles Rosa,Nathaniel Wood,Charles Rosa,0,0,97,159,51,167,102,166,54,170,1,1,2,9,0,1,0,0,85,52,62,111,21,120,4,13,18,29,31,35,12,18,87,144,43,156,5,7,6,9,5,8,2,2,Decision - Unanimous ,900,3,3,Nathaniel Wood,Featherweight Bout,No
19,UFC Fight Night: Blaydes vs Aspinall,Marc Diakiese vs Damir Hadzovic,Marc Diakiese,Damir Hadzovic,0,0,13,32,5,10,78,111,20,25,8,11,0,1,0,0,0,0,815,0,8,25,3,7,0,2,0,1,5,5,2,2,7,25,5,10,2,2,0,0,4,5,0,0,Decision - Unanimous ,900,3,3,Marc Diakiese,Lightweight Bout,No
20,UFC Fight Night: Blaydes vs Aspinall,Ludovit Klein vs Mason Jones,Mason Jones,Ludovit Klein,0,1,43,105,50,87,78,141,70,112,0,3,0,1,0,0,0,0,137,401,16,70,37,68,23,31,10,16,4,4,3,3,21,75,31,63,21,27,7,9,1,3,12,15,Decision - Unanimous ,900,3,3,Ludovit Klein,Lightweight Bout,No
21,UFC Fight Night: Blaydes vs Aspinall,Volkan Oezdemir vs Paul Craig,Paul Craig,Volkan Oezdemir,0,0,33,126,72,129,41,136,108,170,0,15,1,2,0,0,0,0,7,309,18,102,45,101,10,19,10,11,5,5,17,17,32,120,50,97,1,3,6,6,0,3,16,26,Decision - Unanimous ,900,3,3,Volkan Oezdemir,Light Heavyweight Bout,No
22,UFC Fight Night: Blaydes vs Aspinall,Molly McCann vs Hannah Goldy,Molly McCann,Hannah Goldy,1,0,24,52,9,33,29,57,9,33,0,1,0,5,0,0,0,0,10,70,20,46,5,26,3,5,3,3,1,1,1,4,19,45,6,27,2,2,3,6,3,5,0,0,KO/TKO ,232,1,3,Molly McCann,Women's Flyweight Bout,No
23,UFC Fight Night: Blaydes vs Aspinall,Nikita Krylov vs Alexander Gustafsson,Nikita Krylov,Alexander Gustafsson,2,0,26,44,5,8,26,45,5,9,0,0,0,0,0,0,0,0,9,7,24,41,4,7,1,1,1,1,1,2,0,0,15,29,5,7,4,5,0,0,7,10,0,1,KO/TKO ,67,1,3,Nikita Krylov,Light Heavyweight Bout,No
24,UFC Fight Night: Blaydes vs Aspinall,Paddy Pimblett vs Jordan Leavitt,Paddy Pimblett,Jordan Leavitt,0,0,17,39,16,22,30,53,41,48,1,1,3,9,4,0,0,0,104,290,14,34,5,8,2,4,9,12,1,1,2,2,4,22,9,12,8,9,7,10,5,8,0,0,Submission ,466,2,3,Paddy Pimblett,Lightweight Bout,No
25,UFC Fight Night: Blaydes vs Aspinall,Jack Hermansson vs Chris Curtis,Jack Hermansson,Chris Curtis,0,0,100,251,43,125,100,251,43,125,0,6,0,0,0,0,0,0,0,0,48,176,18,89,25,45,25,35,27,30,0,1,99,246,41,123,1,5,2,2,0,0,0,0,Decision - Unanimous ,900,3,3,Jack Hermansson,Middleweight Bout,No
26,UFC Fight Night: Blaydes vs Aspinall,Curtis Blaydes vs Tom Aspinall,Curtis Blaydes,Tom Aspinall,0,0,4,10,3,5,4,10,3,5,0,0,0,0,0,0,0,0,1,0,2,8,0,2,1,1,1,1,1,1,2,2,4,10,3,5,0,0,0,0,0,0,0,0,KO/TKO ,15,1,5,Curtis Blaydes,Heavyweight Bout,No
27,UFC Fight Night: Ortega vs Rodriguez,Emily Ducote vs Jessica Penne,Jessica Penne,Emily Ducote,0,0,63,244,116,205,68,249,117,206,0,8,0,0,0,0,0,0,0,0,37,208,41,113,26,36,24,34,0,0,51,58,55,234,115,203,8,10,1,2,0,0,0,0,Decision - Unanimous ,900,3,3,Emily Ducote,Women's Strawweight Bout,No
28,UFC Fight Night: Ortega vs Rodriguez,Dustin Stoltzfus vs Dwight Grant,Dwight Grant,Dustin Stoltzfus,0,0,52,100,49,112,54,102,102,173,0,0,2,5,0,0,0,0,0,257,35,79,23,81,7,9,7,8,10,12,19,23,50,97,35,88,2,3,3,4,0,0,11,20,Decision - Unanimous ,900,3,3,Dustin Stoltzfus,Middleweight Bout,No
29,UFC Fight Night: Ortega vs Rodriguez,Dustin Jacoby vs Da-Un Jung,Dustin Jacoby,Da-Un Jung,1,0,14,23,14,39,14,23,14,39,0,0,0,0,0,0,0,0,0,0,6,14,6,26,1,2,1,4,7,7,7,9,14,23,14,39,0,0,0,0,0,0,0,0,KO/TKO ,193,1,3,Dustin Jacoby,Light Heavyweight Bout,No
30,UFC Fight Night: Ortega vs Rodriguez,Bill Algeo vs Herbert Burns,Bill Algeo,Herbert Burns,0,0,28,36,10,12,81,104,18,25,1,1,1,2,0,2,0,0,326,32,21,28,6,8,6,7,4,4,1,1,0,0,2,4,1,1,2,2,3,3,24,30,6,8,KO/TKO ,410,2,3,Bill Algeo,Featherweight Bout,No
31,UFC Fight Night: Ortega vs Rodriguez,Ricky Simon vs Jack Shore,Ricky Simon,Jack Shore,1,0,25,38,19,44,46,59,27,52,2,8,0,3,1,0,0,0,246,13,13,25,15,40,2,2,4,4,10,11,0,0,18,30,17,42,4,4,2,2,3,4,0,0,Submission ,508,2,3,Ricky Simon,Bantamweight Bout,No
32,UFC Fight Night: Ortega vs Rodriguez,Punahele Soriano vs Dalcha Lungiambula,Punahele Soriano,Dalcha Lungiambula,1,0,17,35,11,22,19,37,17,28,0,1,2,2,0,0,0,0,4,99,8,25,6,16,9,10,2,3,0,0,3,3,9,26,9,18,4,5,0,2,4,4,2,2,KO/TKO ,328,2,3,Punahele Soriano,Middleweight Bout,No
33,UFC Fight Night: Ortega vs Rodriguez,Lauren Murphy vs Miesha Tate,Lauren Murphy,Miesha Tate,0,0,102,184,85,164,128,211,121,201,2,6,0,7,0,0,0,0,78,125,77,154,61,122,24,29,18,34,1,1,6,8,68,142,67,138,31,39,18,26,3,3,0,0,Decision - Unanimous ,900,3,3,Lauren Murphy,Women's Flyweight Bout,No
34,UFC Fight Night: Ortega vs Rodriguez,Shane Burgos vs Charles Jourdain,Shane Burgos,Charles Jourdain,0,0,42,80,113,188,67,116,161,241,2,7,0,1,3,0,0,0,385,128,16,47,72,145,6,12,36,37,20,21,5,6,28,61,68,133,13,18,41,51,1,1,4,4,Decision - Majority ,900,3,3,Shane Burgos,Featherweight Bout,No
35,UFC Fight Night: Ortega vs Rodriguez,Matt Schnell vs Sumudaerji,Matt Schnell,Sumudaerji,0,1,47,81,58,83,79,120,67,92,2,3,0,0,2,0,1,2,160,133,36,70,37,61,5,5,10,11,6,6,11,11,16,40,35,53,9,12,13,19,22,29,10,11,Submission ,564,2,3,Matt Schnell,Flyweight Bout,No
36,UFC Fight Night: Ortega vs Rodriguez,Li Jingliang vs Muslim Salikhov,Li Jingliang,Muslim Salikhov,1,0,38,87,23,56,40,91,33,67,1,2,1,4,0,0,0,0,30,70,13,49,18,48,12,18,3,6,13,20,2,2,30,75,20,51,6,8,0,1,2,4,3,4,KO/TKO ,578,2,3,Li Jingliang,Welterweight Bout,No
37,UFC Fight Night: Ortega vs Rodriguez,Amanda Lemos vs Michelle Waterson-Gomez,Michelle Waterson-Gomez,Amanda Lemos,0,0,29,56,20,35,35,62,20,35,1,2,0,0,0,1,0,1,68,5,7,24,11,23,7,10,3,5,15,22,6,7,27,54,20,35,0,0,0,0,2,2,0,0,Submission ,408,2,3,Amanda Lemos,Women's Strawweight Bout,No
38,UFC Fight Night: Ortega vs Rodriguez,Yair Rodriguez vs Brian Ortega,Brian Ortega,Yair Rodriguez,0,0,22,35,23,46,26,39,48,76,1,5,0,0,0,0,0,0,144,0,18,30,18,41,3,3,0,0,1,2,5,5,15,27,21,44,7,8,1,1,0,0,1,1,KO/TKO ,251,1,5,Yair Rodriguez,Featherweight Bout,No
39,UFC Fight Night: Dos Anjos vs Fiziev,Saidyokub Kakhramonov vs Ronnie Lawrence,Ronnie Lawrence,Saidyokub Kakhramonov,0,0,15,33,32,59,16,34,105,156,1,2,10,16,0,0,0,0,4,739,8,21,28,53,4,9,1,3,3,3,3,3,14,32,4,20,1,1,7,9,0,0,21,30,Decision - Unanimous ,900,3,3,Saidyokub Kakhramonov,Bantamweight Bout,No
40,UFC Fight Night: Dos Anjos vs Fiziev,Kennedy Nzechukwu vs Karl Roberson,Kennedy Nzechukwu,Karl Roberson,0,0,20,43,9,19,64,114,16,26,5,7,0,3,1,0,0,0,646,23,18,37,4,13,2,6,4,5,0,0,1,1,3,22,9,19,0,0,0,0,17,21,0,0,KO/TKO ,739,3,3,Kennedy Nzechukwu,Light Heavyweight Bout,No
41,UFC Fight Night: Dos Anjos vs Fiziev,David Onama vs Garrett Armfield,David Onama,Garrett Armfield,0,0,29,72,21,72,46,95,29,83,2,6,0,2,1,0,0,0,155,112,16,55,15,61,13,17,4,9,0,0,2,2,27,66,20,68,1,3,1,4,1,3,0,0,Submission ,493,2,3,David Onama,Featherweight Bout,No
42,UFC Fight Night: Dos Anjos vs Fiziev,Antonina Shevchenko vs Cortney Casey,Antonina Shevchenko,Cortney Casey,0,0,55,117,33,86,81,158,80,146,0,1,2,5,0,0,0,0,110,188,26,73,17,52,15,26,2,7,14,18,14,27,54,115,28,78,1,2,3,4,0,0,2,4,Decision - Split ,900,3,3,Antonina Shevchenko,Women's Flyweight Bout,No
43,UFC Fight Night: Dos Anjos vs Fiziev,Cody Brundage vs Tresean Gore,Cody Brundage,Tresean Gore,1,0,15,39,8,25,23,49,8,27,1,2,0,0,0,0,0,0,78,0,10,33,2,15,5,6,0,1,0,0,6,9,12,33,8,25,1,2,0,0,2,4,0,0,KO/TKO ,230,1,3,Cody Brundage,Middleweight Bout,No
44,UFC Fight Night: Dos Anjos vs Fiziev,Jamie Mullarkey vs Michael Johnson,Michael Johnson,Jamie Mullarkey,1,0,66,190,96,217,68,194,96,218,0,2,0,2,0,0,0,0,37,17,42,147,54,160,22,41,21,34,2,2,21,23,58,179,83,195,4,5,11,18,4,6,2,4,Decision - Split ,900,3,3,Jamie Mullarkey,Lightweight Bout,No
45,UFC Fight Night: Dos Anjos vs Fiziev,Aiemann Zahabi vs Ricky Turcios,Aiemann Zahabi,Ricky Turcios,0,0,54,105,27,235,54,105,27,235,0,0,0,2,0,0,0,0,0,0,18,59,14,204,9,14,5,21,27,32,8,10,53,104,27,235,1,1,0,0,0,0,0,0,Decision - Unanimous ,900,3,3,Aiemann Zahabi,Bantamweight Bout,No
46,UFC Fight Night: Dos Anjos vs Fiziev,Chase Sherman vs Jared Vanderaa,Jared Vanderaa,Chase Sherman,0,1,109,266,137,235,109,267,137,235,0,0,0,0,0,0,0,0,0,0,76,224,86,175,18,25,32,39,15,17,19,21,108,265,134,231,1,1,3,3,0,0,0,1,KO/TKO ,790,3,3,Chase Sherman,Heavyweight Bout,No
47,UFC Fight Night: Dos Anjos vs Fiziev,Said Nurmagomedov vs Douglas Silva de Andrade,Douglas Silva de Andrade,Said Nurmagomedov,0,0,28,74,42,97,44,95,77,150,1,1,1,5,0,0,0,0,252,22,4,34,21,69,11,19,12,18,13,21,9,10,24,66,39,89,2,3,3,8,2,5,0,0,Decision - Unanimous ,900,3,3,Said Nurmagomedov,Bantamweight Bout,No
48,UFC Fight Night: Dos Anjos vs Fiziev,Caio Borralho vs Armen Petrosyan,Caio Borralho,Armen Petrosyan,0,0,12,25,31,61,49,83,72,132,4,5,0,0,0,0,0,1,609,79,4,15,2,19,6,8,3,9,2,2,26,33,11,23,16,40,1,2,0,0,0,0,15,21,Decision - Unanimous ,900,3,3,Caio Borralho,Middleweight Bout,No
49,UFC Fight Night: Dos Anjos vs Fiziev,Rafael Fiziev vs Rafael Dos Anjos,Rafael Dos Anjos,Rafael Fiziev,0,1,54,110,64,159,90,162,92,192,2,16,0,1,0,0,0,0,373,179,31,80,32,102,12,14,27,52,11,16,5,5,50,106,62,155,4,4,1,2,0,0,1,2,KO/TKO ,1218,5,5,Rafael Fiziev,Lightweight Bout,No
50,UFC 276: Adesanya vs Cannonier,Julija Stoliarenko vs Jessica-Rose Clark,Jessica-Rose Clark,Julija Stoliarenko,0,0,9,16,6,9,9,16,6,9,0,0,1,1,0,1,0,0,0,17,6,13,6,9,1,1,0,0,2,2,0,0,7,13,6,9,2,2,0,0,0,1,0,0,Submission ,42,1,3,Julija Stoliarenko,Women's Bantamweight Bout,No
51,UFC 276: Adesanya vs Cannonier,Maycee Barber vs Jessica Eye,Jessica Eye,Maycee Barber,0,0,35,62,63,97,76,106,83,117,1,4,0,0,0,0,0,0,489,112,23,48,45,78,9,10,16,17,3,4,2,2,17,41,23,51,16,19,35,41,2,2,5,5,Decision - Unanimous ,900,3,3,Maycee Barber,Women's Flyweight Bout,No
52,UFC 276: Adesanya vs Cannonier,Andre Muniz vs Uriah Hall,Uriah Hall,Andre Muniz,0,0,6,26,17,39,24,49,99,185,0,0,4,10,0,0,2,0,18,612,6,26,11,31,0,0,2,3,0,0,4,5,3,17,12,32,0,0,0,1,3,9,5,6,Decision - Unanimous ,900,3,3,Andre Muniz,Middleweight Bout,No
53,UFC 276: Adesanya vs Cannonier,Dricus Du Plessis vs Brad Tavares,Brad Tavares,Dricus Du Plessis,0,0,82,150,113,212,98,167,123,222,0,1,0,7,0,0,0,0,121,78,55,113,79,169,21,31,17,21,6,6,17,22,69,132,97,192,12,16,14,18,1,2,2,2,Decision - Unanimous ,900,3,3,Dricus Du Plessis,Middleweight Bout,No
54,UFC 276: Adesanya vs Cannonier,Ian Garry vs Gabe Green,Ian Garry,Gabe Green,1,0,116,193,90,195,129,206,102,208,1,2,1,4,0,0,0,0,46,137,87,160,31,112,17,21,24,36,12,12,35,47,111,188,90,194,2,2,0,1,3,3,0,0,Decision - Unanimous ,900,3,3,Ian Garry,Welterweight Bout,No
55,UFC 276: Adesanya vs Cannonier,Jim Miller vs Donald Cerrone,Jim Miller,Donald Cerrone,0,0,24,36,21,33,35,48,24,36,1,1,0,0,1,0,0,1,63,84,16,28,12,20,6,6,6,8,2,2,3,5,17,27,21,33,0,0,0,0,7,9,0,0,Submission ,392,2,3,Jim Miller,Welterweight Bout,No
56,UFC 276: Adesanya vs Cannonier,Jalin Turner vs Brad Riddell,Brad Riddell,Jalin Turner,0,0,2,3,3,5,2,3,3,5,0,1,0,0,0,1,0,0,0,13,0,1,1,2,0,0,1,2,2,2,1,1,2,3,3,5,0,0,0,0,0,0,0,0,Submission ,45,1,3,Jalin Turner,Lightweight Bout,No
57,UFC 276: Adesanya vs Cannonier,Pedro Munhoz vs Sean OMalley,Pedro Munhoz,Sean OMalley,0,0,26,41,25,47,26,41,25,47,0,0,0,0,0,0,0,0,0,0,0,9,14,30,0,2,8,14,26,30,3,3,26,41,25,47,0,0,0,0,0,0,0,0,Could Not Continue ,489,2,3,NC,Bantamweight Bout,No
58,UFC 276: Adesanya vs Cannonier,Bryan Barberena vs Robbie Lawler,Robbie Lawler,Bryan Barberena,0,0,81,141,147,316,81,141,148,317,0,0,0,0,0,0,0,0,0,0,65,124,116,280,15,16,18,20,1,1,13,16,78,137,138,304,3,4,9,12,0,0,0,0,KO/TKO ,587,2,3,Bryan Barberena,Welterweight Bout,No
59,UFC 276: Adesanya vs Cannonier,Alex Pereira vs Sean Strickland,Sean Strickland,Alex Pereira,0,1,15,29,25,40,15,29,25,40,0,0,0,0,0,0,0,0,0,3,9,20,5,15,6,8,12,14,0,1,8,11,15,29,25,40,0,0,0,0,0,0,0,0,KO/TKO ,156,1,3,Alex Pereira,Middleweight Bout,No
60,UFC 276: Adesanya vs Cannonier,Alexander Volkanovski vs Max Holloway,Alexander Volkanovski,Max Holloway,0,0,199,372,127,301,204,377,161,335,0,0,0,3,0,0,0,0,117,16,152,316,64,213,19,24,42,59,28,32,21,29,175,340,109,283,24,32,18,18,0,0,0,0,Decision - Unanimous ,1500,5,5,Alexander Volkanovski,Featherweight Bout,Yes
61,UFC 276: Adesanya vs Cannonier,Israel Adesanya vs Jared Cannonier,Israel Adesanya,Jared Cannonier,0,0,116,230,90,157,163,277,141,217,0,0,0,4,0,0,0,0,0,254,60,165,36,89,26,31,32,40,30,34,22,28,114,226,78,143,2,4,12,14,0,0,0,0,Decision - Unanimous ,1500,5,5,Israel Adesanya,Middleweight Bout,Yes
62,UFC Fight Night: Tsarukyan vs Gamrot,Vanessa Demopoulos vs Jinh Yu Frey,Vanessa Demopoulos,Jinh Yu Frey,0,0,66,139,62,133,71,144,81,153,1,7,0,1,0,0,0,0,254,11,34,100,49,116,25,31,8,11,7,8,5,6,40,107,58,128,26,32,4,5,0,0,0,0,Decision - Split ,900,3,3,Vanessa Demopoulos,Women's Strawweight Bout,No
63,UFC Fight Night: Tsarukyan vs Gamrot,Mario Bautista vs Brian Kelleher,Brian Kelleher,Mario Bautista,0,0,2,3,6,17,2,3,6,17,0,0,2,2,0,1,0,0,0,88,1,2,3,14,0,0,1,1,1,1,2,2,2,3,4,15,0,0,0,0,0,0,2,2,Submission ,147,1,3,Mario Bautista,Bantamweight Bout,No
64,UFC Fight Night: Tsarukyan vs Gamrot,Cody Durden vs JP Buys,JP Buys,Cody Durden,0,1,7,11,23,30,7,11,34,41,0,2,0,0,0,0,0,0,0,26,4,7,21,28,1,1,2,2,2,3,0,0,5,9,8,12,2,2,1,1,0,0,14,17,KO/TKO ,68,1,3,Cody Durden,Flyweight Bout,No
65,UFC Fight Night: Tsarukyan vs Gamrot,Sergey Morozov vs Raulian Paiva,Raulian Paiva,Sergey Morozov,0,0,63,142,68,127,63,142,82,143,1,4,2,13,0,0,0,0,13,275,51,120,56,113,10,20,8,9,2,2,4,5,62,140,66,122,1,1,1,3,0,1,1,2,Decision - Unanimous ,900,3,3,Sergey Morozov,Bantamweight Bout,No
66,UFC Fight Night: Tsarukyan vs Gamrot,Shayilan Nuerdanbieke vs TJ Brown,Shayilan Nuerdanbieke,TJ Brown,1,0,47,79,42,99,86,121,58,125,3,6,1,2,0,4,2,2,452,174,41,73,30,86,1,1,9,10,5,5,3,3,32,61,36,92,2,2,3,3,13,16,3,4,Decision - Unanimous ,900,3,3,Shayilan Nuerdanbieke,Featherweight Bout,No
67,UFC Fight Night: Tsarukyan vs Gamrot,Carlos Ulberg vs Tafon Nchukwi,Carlos Ulberg,Tafon Nchukwi,1,0,15,19,3,4,15,19,3,4,0,0,0,0,0,0,0,0,4,0,9,13,0,0,3,3,0,0,3,3,3,4,12,15,3,4,0,0,0,0,3,4,0,0,KO/TKO ,75,1,3,Carlos Ulberg,Light Heavyweight Bout,No
68,UFC Fight Night: Tsarukyan vs Gamrot,Chris Curtis vs Rodolfo Vieira,Chris Curtis,Rodolfo Vieira,0,0,109,174,86,145,128,193,90,149,0,0,0,20,0,0,0,0,35,125,80,136,64,121,29,38,6,8,0,0,16,16,104,167,83,140,2,4,3,5,3,3,0,0,Decision - Unanimous ,900,3,3,Chris Curtis,Middleweight Bout,No
69,UFC Fight Night: Tsarukyan vs Gamrot,Umar Nurmagomedov vs Nate Maness,Nate Maness,Umar Nurmagomedov,0,0,2,20,74,100,46,68,128,161,0,0,3,4,0,0,0,0,0,649,1,19,60,79,1,1,10,15,0,0,4,6,2,20,17,33,0,0,0,0,0,0,57,67,Decision - Unanimous ,900,3,3,Umar Nurmagomedov,Bantamweight Bout,No
70,UFC Fight Night: Tsarukyan vs Gamrot,Thiago Moises vs Christos Giagos,Thiago Moises,Christos Giagos,0,0,3,4,2,5,7,9,13,16,1,2,0,0,1,0,0,0,154,0,2,3,1,4,0,0,1,1,1,1,0,0,2,3,2,5,1,1,0,0,0,0,0,0,Submission ,185,1,3,Thiago Moises,Lightweight Bout,No
